<html><head><title>MySQL Plugin log</title><style>table {border: 1px solid black; border-collapse: collapse; line-height: 23px; table-layout: fixed; width: 863px;}th, td {border: 1px solid black; word-wrap: break-word;}thead {background-color: #C0C0C0;}		tbody {text-align: center;}		table.left1 {position: relative; left: 36px;}		table.left2 {position: relative; left: 72px;}		.time {width: 80px;}		.func {width: 200px;}		.stat {width: 75px;}		.msg {width: 400px;}	</style>	<script>		var 			LOG_ERROR = 1,			LOG_WARNING = 2,			LOG_DEBUG = 4;				var			FirstRun = true,			IsCallbackActive = false,			IsTableOpen = false,			IsThreadActive = false;				function StartCB(cbname) {			StartTable(1, 0, cbname);		}		function EndCB() {			EndTable();			IsCallbackActive = false;		}		function StartTable(iscallback, isthreaded, cbname) {			if(IsTableOpen == true || isthreaded != IsThreadActive)				EndTable();						if(iscallback == true) {				document.write(					"<table class=left2>" +						"<th bgcolor=#C0C0C0 >In callback \""+cbname+"\"</th>" +					"</table>"				);			}						document.write("<table");			if(iscallback == true || (isthreaded != IsThreadActive && isthreaded == false && IsCallbackActive == true) ) {				document.write(" class=left2");				IsCallbackActive = true;			}			else if(isthreaded == true) 				document.write(" class=left1");						IsThreadActive = isthreaded;			document.write(">");						if(FirstRun == true) {				FirstRun = false;				document.write("<thead><th class=time>Time</th><th class=func>Function</th><th class=stat>Status</th><th class=msg>Message</th></thead>");			}			document.write("<tbody>");			IsTableOpen = true;		}				function EndTable() {			document.write("</tbody></table>");			IsTableOpen = false;		}						function Log(time, func, status, msg, isthreaded) {			isthreaded = typeof isthreaded !== 'undefined' ? isthreaded : 0;			if(IsTableOpen == false || isthreaded != IsThreadActive)				StartTable(false, isthreaded, "");			var StatColor, StatText;			switch(status) {			case LOG_ERROR:				StatColor = "RED";				StatText = "ERROR";				break;			case LOG_WARNING:				StatColor = "#FF9900";				StatText = "WARNING";				break;			case LOG_DEBUG:				StatColor = "#00DD00";				StatText = "OK";				break;			}			document.write(				"<tr bgcolor="+StatColor+">" + 					"<td class=time>"+time+"</td>" + 					"<td class=func>"+func+"</td>" + 					"<td class=stat>"+StatText+"</td>" + 					"<td class=msg>"+msg+"</td>" + 				"</tr>"			);		}	</script></head><body bgcolor=grey>	<h2>Logging started at 20:20, 17.05.2017</h2><script>
StartCB("LoadVehicles");Log("20:20:21","CMySQLQuery::Execute[LoadAtms]",1,"(error #1146) Table 'droomrpg.atms' doesn't exist",1);
Log("11:49:14","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:49:14","cache_get_row_count",2,"no active cache",0);
Log("11:49:14","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:49:14","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:49:37","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:49:37","cache_get_row_count",2,"no active cache",0);
Log("11:49:37","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:49:38","CMySQLQuery::Execute[]",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",1);
Log("11:50:05","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:50:05","cache_get_row_count",2,"no active cache",0);
Log("11:50:05","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:50:05","cache_get_row_count",2,"no active cache",0);
Log("11:50:05","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:50:05","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:50:21","CMySQLQuery::Execute[]",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",1);
Log("11:50:52","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:50:52","cache_get_row_count",2,"no active cache",0);
Log("11:50:52","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:50:52","cache_get_row_count",2,"no active cache",0);
Log("11:50:52","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:50:52","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:50:57","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:50:57","cache_get_row_count",2,"no active cache",0);
Log("11:50:57","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:51:12","CMySQLQuery::Execute[]",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",1);
Log("11:51:21","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:51:21","cache_get_row_count",2,"no active cache",0);
Log("11:51:21","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:51:49","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:51:49","cache_get_row_count",2,"no active cache",0);
Log("11:51:49","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:51:49","cache_get_row_count",2,"no active cache",0);
Log("11:51:49","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:51:49","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:51:55","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:51:55","cache_get_row_count",2,"no active cache",0);
Log("11:51:55","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:52:14","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:52:14","cache_get_row_count",2,"no active cache",0);
Log("11:52:14","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:52:30","CMySQLQuery::Execute[]",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",1);
Log("11:54:46","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:54:46","cache_get_row_count",2,"no active cache",0);
Log("11:54:46","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:54:46","cache_get_row_count",2,"no active cache",0);
Log("11:54:46","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:54:46","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:57:13","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("11:57:13","cache_get_row_count",2,"no active cache",0);
Log("11:57:13","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:57:13","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("11:57:13","cache_get_row_count",2,"no active cache",0);
Log("11:57:13","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:57:13","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("11:57:13","cache_get_row_count",2,"no active cache",0);
Log("11:57:13","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("12:02:55","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("12:02:55","cache_get_row_count",2,"no active cache",0);
Log("12:02:55","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("12:02:55","cache_get_row_count",2,"no active cache",0);
Log("12:02:55","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("12:02:55","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("12:03:23","CMySQLQuery::Execute[]",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",1);
</script>
